item,itemLabel,startDate,endDate,sourceDate,psid
Q7933270,Violet Neilson,1997,2003,,Q7933270-AACD274A-0822-4E05-A538-61D30F6D8E45
Q17325174,Michael Peart,2003,2007,,Q17325174-7D93BD58-F2AF-4F63-A831-11638DC680F7
Q1184742,Delroy Chuck,2007-09-27,2011-07-13,,Q1184742-2A5C4BB6-2A25-49B6-BC94-E25066DC1AA1
Q99478706,Marisa Dalrymple-Philibert,2011-07-13,2011-12-12,,Q99478706-189F497C-AF34-4290-81A6-E06AB4AAF98A
Q17325174,Michael Peart,2012-01-17,2016-02-05,,Q17325174-A419977E-F3B8-4752-B3C5-AE938CF2DF0B
Q2065916,Pearnel Charles,2016-03-10,2020-08-11,,Q2065916-34A56474-318E-41A3-B0F8-AB9FB4B23C89
Q99478706,Marisa Dalrymple-Philibert,2020-09-15,,,Q99478706-33B59351-23BC-40F9-8FB2-CF5C1A45DBF0
